C_total,E_dest
10018.21555116923,3271.74169526714
10018.21555116923,3271.77562421398
10018.2331292416,3271.791466717771
10019.980860616686,3273.34505195399
10025.372912133767,3277.0358650030425
10033.397131612302,3279.3278022486875
10034.185371987223,3278.4556663193807
10038.478228713018,3274.243845094079
10040.71629180135,3273.385803654009
10041.036125744973,3275.3428890867517
10041.361393028888,3279.3329715800865
10041.461345472853,3279.760373414303
10041.635984203302,3275.129990020996
10041.763671573855,3280.5858617572057
10041.76370784012,3277.6499504716767
10041.786510955246,3278.480634136192
10041.786656131662,3278.525703827472
10041.799780170582,3275.3325002487027
10042.016809410996,3280.6570804372705
10042.081455381904,3280.9260330097627
10042.341720108909,3282.200527243581
10042.471587546388,3276.90099978264
10042.597630740445,3276.7086978922566
10042.645533428682,3272.0974819869093
10042.73643361883,3283.52587583903
10042.971817503878,3273.3379897910854
10043.309907132774,3277.618356759507
10043.982082377686,3277.653575610922
10043.984207044647,3275.216789721062
10044.145779155559,3278.8248744254433
10044.43096188847,3284.8251279316464
10044.494038015886,3273.2843829714775
10044.50920665691,3280.047433582622
10044.687054638845,3280.3818456209015
10044.905505256438,3278.659012826543
10045.24439607285,3282.840152725558
10045.290087665628,3279.3329715800865
10046.053742091233,3275.3325002487027
10046.097225351243,3277.983654575662
10046.347507130477,3276.9548219357566
10046.679687712603,3280.993715421779
10046.872341366758,3279.516327691221
10046.894180030531,3279.597944398881
10047.805867471752,3277.571982000994
10047.854469299033,3277.802807054372
10047.996792802212,3278.442656396741
10049.944128483226,3274.478173009694
10049.965095730615,3274.5724613281827
10053.020866484083,3273.471079704199
10053.12987193841,3277.8034166034254
10060.278501342196,3275.952982019142
10072.4472035348,3275.7142183103797
10074.06780290635,3277.713496175209
10074.233041454743,3275.9886884801367
10074.233041454743,3276.667883971757
10075.466851086778,3277.3305589066276
10076.242102162192,3278.862960995223
10079.807152756868,3273.437733561599
10084.517533748021,3276.4514694080103
10085.875886503747,3272.1542950449293
10086.808337840735,3272.067027558876
10088.046946075265,3274.7765313288687
10088.170971799203,3279.1818645303056
10088.299292525408,3273.883775232507
10088.530815589995,3278.00148234307
10089.577859816083,3277.011751979384
10089.872858193186,3276.4296374589985
10089.945619069813,3276.756841116724
10090.07506575726,3277.3387770304653
10090.263856253529,3274.7030643689095
10090.537062357973,3275.2779139633712
10090.704914129392,3275.4905437410225
10090.705215584348,3275.4909256154565
10091.231080833386,3276.1449233486373
10092.160873787354,3274.986459460579
10092.796099775955,3275.846008782501
10093.777157583081,3274.5343925588504
10095.65652388238,3276.519326071051
10099.861253550676,3275.64710519356
10101.29370681972,3272.224372969009
10101.29370681972,3272.2248995985315
10101.770354937556,3272.1391354705743
10101.770354937556,3272.224372969009
10101.903548237748,3272.873169960644
10102.106864494077,3273.3292827365212
10102.11583119698,3275.0933055756086
10102.256633245555,3274.7916096433673
10102.270955399117,3274.7646786848577
10104.71744763678,3274.190565182408
10104.88123104784,3274.3930160549594
10106.394884259144,3275.676133421068
10112.392515735366,3274.3087962739373
10115.129541299026,3275.356895514528
10115.880104205651,3273.250655918827
10115.881338115352,3273.250655918827
10116.093709689912,3272.5178089650835
10116.245099040103,3275.641860642468
10116.480333569712,3274.3351776678687
10116.896803197245,3273.3177270874403
10117.035840057624,3275.55073824686
10117.146798042495,3275.1240385531023
10117.166587214117,3274.297086897818
10118.826441406305,3274.2986326767227
10119.499550864017,3273.8463856595395
10128.876612066135,3272.224372969009
10129.167780942487,3272.660409667178
10162.6654475121,3274.1800140235127
10163.59995518213,3274.5343925588504
10213.921891312086,3273.8852435954145
10214.060803255095,3274.5320986451743
10228.83573811024,3273.4760980279393
10229.702148395034,3273.2725280257837
10230.30894388192,3273.889418497857
10232.993821657516,3273.476558994381
10330.73062504863,3273.323219459035
10332.540817658994,3273.323219459035
10335.067652644619,3273.323219459035
10514.238482327193,3272.224372969009
10934.456099229927,3272.5178089650835
11727.193188845575,3273.2843829714775
